,task_id,pretty_formula,band_gap,unit_cell_formula,nsites,e_above_hull,elements,volume
20,mp-10694,ScF3,6.0792,"{'Sc': 1.0, 'F': 3.0}",4,0,"['Sc', 'F']",67.4816404096478
65,mp-1112663,Cs2LiYI6,3.0085,"{'Cs': 2.0, 'Li': 1.0, 'Y': 1.0, 'I': 6.0}",10,0,"['Cs', 'I', 'Li', 'Y']",443.690450755453
103,mp-1190639,CsK2Fe3P4ClO14,3.5958,"{'Cs': 1.0, 'K': 2.0, 'Fe': 3.0, 'P': 4.0, 'Cl': 1.0, 'O': 14.0}",25,0,"['Cl', 'Cs', 'Fe', 'K', 'O', 'P']",395.017329296618
132,mp-1206530,ZrNiF6,5.6651,"{'Zr': 1.0, 'Ni': 1.0, 'F': 6.0}",8,0,"['F', 'Ni', 'Zr']",133.401191284773
133,mp-1206523,Rb2MnF4,3.0223,"{'Rb': 2.0, 'Mn': 1.0, 'F': 4.0}",7,0,"['F', 'Mn', 'Rb']",131.542061576251
219,mp-19220,CaSi2NiO6,4.4369,"{'Ca': 2.0, 'Si': 4.0, 'Ni': 2.0, 'O': 12.0}",20,0.005460957,"['Ca', 'Ni', 'O', 'Si']",226.931977663834
244,mp-27994,HgBrO3,3.1924,"{'O': 12.0, 'Br': 4.0, 'Hg': 4.0}",20,0,"['Br', 'Hg', 'O']",395.2889502081
248,mp-28274,Ba3In2F12,4.5144,"{'F': 24.0, 'In': 4.0, 'Ba': 6.0}",34,0,"['Ba', 'F', 'In']",541.951359986932
251,mp-28361,Al2CdCl8,3.7051,"{'Al': 4.0, 'Cl': 16.0, 'Cd': 2.0}",22,0,"['Al', 'Cd', 'Cl']",675.689548073385
259,mp-3416,Na3AlF6,6.7147,"{'F': 12.0, 'Na': 6.0, 'Al': 2.0}",20,0,"['Na', 'Al', 'F']",245.150290498473
260,mp-3771,MgTiO3,3.4987,"{'O': 6.0, 'Mg': 2.0, 'Ti': 2.0}",10,0,"['Mg', 'Ti', 'O']",105.58039053568
305,mp-607931,Cs3NaLi2(BO3)2,3.454,"{'Cs': 6.0, 'Na': 2.0, 'Li': 4.0, 'B': 4.0, 'O': 12.0}",28,0,"['B', 'Cs', 'Li', 'Na', 'O']",492.692463788804
369,mp-770419,Sr2Zr7O16,3.8853,"{'Sr': 2.0, 'Zr': 7.0, 'O': 16.0}",25,0,"['O', 'Sr', 'Zr']",330.634460900377
398,mp-8511,PF5,7.0881,"{'F': 10.0, 'P': 2.0}",12,0,"['P', 'F']",182.963077221233
446,mp-10474,NaPF6,7.0089,"{'F': 6.0, 'Na': 1.0, 'P': 1.0}",8,0,"['Na', 'P', 'F']",123.134998315992
584,mp-1209289,RbGd3F10,4.3862,"{'Rb': 2.0, 'Gd': 6.0, 'F': 20.0}",28,0,"['F', 'Gd', 'Rb']",423.458696865075
587,mp-1210529,Na3ErBr6,4.2104,"{'Na': 6.0, 'Er': 2.0, 'Br': 12.0}",20,0,"['Br', 'Er', 'Na']",619.351562851295
633,mp-1223759,K2MgZr(MoO4)4,3.0522,"{'K': 2.0, 'Mg': 1.0, 'Zr': 1.0, 'Mo': 4.0, 'O': 16.0}",24,0,"['K', 'Mg', 'Mo', 'O', 'Zr']",441.500192419622
646,mp-1228193,Ba3Sr(MoO4)4,4.021,"{'Ba': 3.0, 'Sr': 1.0, 'Mo': 4.0, 'O': 16.0}",24,0.005696337083336,"['Ba', 'Mo', 'O', 'Sr']",408.02462564974
675,mp-19334,Na4WO5,3.8015,"{'O': 10.0, 'Na': 8.0, 'W': 2.0}",20,0,"['Na', 'O', 'W']",252.249141128025
690,mp-28433,RbClO4,5.4768,"{'O': 16.0, 'Cl': 4.0, 'Rb': 4.0}",24,0,"['Cl', 'O', 'Rb']",431.783937092934
693,mp-28904,Na2Te4O9,3.1228,"{'O': 18.0, 'Na': 4.0, 'Te': 8.0}",30,0,"['Na', 'O', 'Te']",497.151267329716
696,mp-29185,Te2O3F2,3.3405,"{'O': 6.0, 'F': 4.0, 'Te': 4.0}",14,0,"['F', 'O', 'Te']",223.304228961188
706,mp-40143,Cs2KZrOF5,4.8766,"{'Cs': 2.0, 'F': 5.0, 'K': 1.0, 'O': 1.0, 'Zr': 1.0}",10,0,"['Cs', 'K', 'Zr', 'O', 'F']",212.496072080457
715,mp-552234,SrBiBrO2,3.1599,"{'Bi': 2.0, 'O': 4.0, 'Sr': 2.0, 'Br': 2.0}",10,0,"['Bi', 'Br', 'O', 'Sr']",221.422963506483
716,mp-554116,BaPb2BrF5,3.2598,"{'Ba': 2.0, 'Pb': 4.0, 'Br': 2.0, 'F': 10.0}",18,0.001673445555556,"['Ba', 'Br', 'F', 'Pb']",360.529772476374
720,mp-556766,ErMoO4F,3.7314,"{'Er': 4.0, 'Mo': 4.0, 'O': 16.0, 'F': 4.0}",28,0,"['Er', 'F', 'Mo', 'O']",397.418122454614
